[ T-Track ]
    title = Fluence in organ and tissue regions
     mesh =  reg            # mesh type is region-wise
      reg = 1400 1401 1700 1701 1900 1901 2200 2201 2400 2401 2600 2900
            2901 3200 3201 3400 3401 3700 3701 3900 4100 { 4300 - 4323
            } 4500 4501 4700 4900 5100 5300 5500 5600 { 7600 - 7602 } {
            8000 - 8002 } { 8400 - 8402 } 9700 9900 { 7200 - 7203 }
            6200 6300 6400 6500 11100 11200 { 13700 - 13702 } { 11000 -
            11002 } 9500 13200 6100 { 12000 - 12002 } { 12100 - 12102 }
            { 12200 - 12202 } 100 200 { 300 - 307 } { 400 - 405 } 7000
            8700 8900 9200 10000 10100 10200 10300 { 10400 - 10403 } {
            10500 - 10503 } { 10600 - 10616 } 500 501 600 601 11300
            13900 { 7400 - 7403 } 12700 13100 6600 6601 { 6700 - 6702 }
            6800 6801 { 6900 - 6902 }
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1     1400   7.9414E+01 # 1400
    2     1401   9.1104E+01 # 1401
    3     1700   5.1238E+01 # 1700
    4     1701   4.4956E+01 # 1701
    5     1900   7.0239E+01 # 1900
    6     1901   5.9483E+01 # 1901
    7     2200   2.2444E+01 # 2200
    8     2201   2.9770E+01 # 2201
    9     2400   1.1998E+01 # 2400
   10     2401   1.2470E+01 # 2401
   11     2600   8.7267E+02 # 2600
   12     2900   1.9634E+02 # 2900
   13     2901   1.8367E+02 # 2901
   14     3200   1.9079E+02 # 3200
   15     3201   1.7914E+02 # 3201
   16     3400   3.2405E+02 # 3400
   17     3401   3.7690E+02 # 3401
   18     3700   1.6758E+02 # 3700
   19     3701   1.6227E+02 # 3701
   20     3900   9.0709E+01 # 3900
   21     4100   4.0107E+02 # 4100
   22     4300   1.0150E+01 # 4300
   23     4301   9.7240E+00 # 4301
   24     4302   1.3584E+01 # 4302
   25     4303   1.1424E+01 # 4303
   26     4304   1.5895E+01 # 4304
   27     4305   1.3760E+01 # 4305
   28     4306   1.7460E+01 # 4306
   29     4307   1.9281E+01 # 4307
   30     4308   1.9689E+01 # 4308
   31     4309   2.3715E+01 # 4309
   32     4310   2.5821E+01 # 4310
   33     4311   2.5712E+01 # 4311
   34     4312   2.1866E+01 # 4312
   35     4313   2.7029E+01 # 4313
   36     4314   1.6747E+01 # 4314
   37     4315   1.7546E+01 # 4315
   38     4316   1.0559E+01 # 4316
   39     4317   1.4578E+01 # 4317
   40     4318   9.2930E+00 # 4318
   41     4319   7.6924E+00 # 4319
   42     4320   5.0221E+00 # 4320
   43     4321   3.6973E+00 # 4321
   44     4322   9.7111E-01 # 4322
   45     4323   1.3021E+00 # 4323
   46     4500   7.7893E+01 # 4500
   47     4501   5.9982E+01 # 4501
   48     4700   6.8961E+01 # 4700
   49     4900   2.0546E+02 # 4900
   50     5100   2.0247E+02 # 5100
   51     5300   1.9570E+02 # 5300
   52     5500   5.2308E+01 # 5500
   53     5600   2.0308E+00 # 5600
   54     7600   5.4665E+00 # 7600
   55     7601   4.7567E-01 # 7601
   56     7602   1.0733E+02 # 7602
   57     8000   5.7433E+00 # 8000
   58     8001   4.2006E-01 # 8001
   59     8002   7.7472E+01 # 8002
   60     8400   4.2720E+00 # 8400
   61     8401   3.1012E-01 # 8401
   62     8402   5.0690E+01 # 8402
   63     9700   1.7559E+03 # 9700
   64     9900   1.7440E+03 # 9900
   65     7200   1.4371E+00 # 7200
   66     7201   1.0320E+00 # 7201
   67     7202   4.6856E+00 # 7202
   68     7203   9.9642E+01 # 7203
   69     6200   9.4841E+01 # 6200
   70     6300   6.3830E+01 # 6300
   71     6400   9.4799E+01 # 6400
   72     6500   6.3830E+01 # 6500
   73    11100   5.2383E+00 # 11100
   74    11200   5.2380E+00 # 11200
   75    13700   2.6827E+01 # 13700
   76    13701   1.2673E+00 # 13701
   77    13702   7.5833E-01 # 13702
   78    11000   5.1279E-01 # 11000
   79    11001   2.8982E-02 # 11001
   80    11002   2.8598E+01 # 11002
   81     9500   1.3333E+03 # 9500
   82    13200   1.6190E+01 # 13200
   83     6100   1.2692E+03 # 6100
   84    12000   3.7145E+00 # 12000
   85    12001   8.7919E+00 # 12001
   86    12002   1.8073E+01 # 12002
   87    12100   3.7144E+00 # 12100
   88    12101   8.7918E+00 # 12101
   89    12102   1.7108E+01 # 12102
   90    12200   7.3690E+01 # 12200
